Fecha,Angol,Carahue,Chol-Chol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica
01 de Mayo,102,30,4,6,5,5,4,9,7,2,12,39,18,0,1,6,0,43,97,5,17,14,4,6,25,679,5,8,2,75,42,19
02 de Mayo,106,30,4,6,5,6,4,9,7,2,12,39,18,0,1,6,0,44,98,5,17,14,4,7,31,684,5,8,2,75,42,19
03 de Mayo,107,34,4,6,5,6,4,9,7,2,12,38,18,0,1,6,0,44,98,5,17,14,5,7,34,687,5,8,2,77,43,19
04 de Mayo,108,34,4,6,5,6,4,11,7,2,12,40,18,0,1,6,0,44,98,5,17,14,5,7,34,687,5,8,2,75,43,19
05 de Mayo,110,34,4,6,5,6,4,11,7,3,12,41,18,0,1,6,0,44,98,5,17,15,6,9,38,693,5,8,2,76,43,19
06 de Mayo,111,34,4,6,5,6,4,11,7,3,12,41,19,0,1,6,0,44,99,5,17,15,6,9,38,696,5,8,2,76,46,20
07 de Mayo,113,35,4,6,5,6,4,11,7,3,13,45,19,3,1,7,0,43,100,5,17,16,6,10,38,703,5,8,2,77,47,20
08 de Mayo,113,35,4,6,6,7,4,11,7,3,13,45,19,4,1,7,0,43,100,5,17,16,6,12,42,711,5,8,2,78,47,20
09 de Mayo,115,35,4,6,6,7,4,11,7,3,13,46,19,4,1,7,0,43,102,5,17,16,7,12,45,715,5,8,2,78,49,20
10 de Mayo,117,35,4,6,6,7,4,11,9,3,13,53,19,7,1,7,0,44,102,5,17,16,7,12,50,731,5,8,2,78,49,20
11 de Mayo,119,36,4,6,6,8,4,11,9,3,13,53,19,9,1,7,0,46,102,5,17,16,7,12,52,733,5,8,2,78,49,20
12 de Mayo,120,35,4,6,6,7,4,11,12,3,13,54,20,11,1,7,0,48,102,5,17,16,7,12,53,736,5,8,2,79,50,20
13 de Mayo,120,35,5,6,6,7,4,11,13,3,13,54,20,11,1,7,0,49,105,5,17,16,7,12,53,741,5,8,2,79,52,20
14 de Mayo,120,35,5,6,6,7,4,11,19,4,14,54,20,18,1,7,0,49,110,5,17,16,6,13,62,749,5,8,3,79,53,21
15 de Mayo,121,35,5,6,6,7,4,11,19,4,14,55,20,18,1,7,0,50,115,5,17,17,6,14,67,756,5,8,3,80,58,21
16 de Mayo,121,36,5,7,6,7,4,11,23,4,15,55,20,22,1,7,0,50,116,5,17,17,6,16,67,764,5,8,4,80,58,21
17 de Mayo,121,36,5,7,6,7,4,11,23,4,15,55,20,29,1,7,0,50,116,5,18,17,6,16,71,766,5,8,5,80,58,21
18 de Mayo,123,36,5,7,7,7,4,11,26,4,15,55,20,31,1,7,0,50,119,5,19,17,6,16,74,782,5,8,5,80,59,22
19 de Mayo,125,36,5,9,8,7,4,11,26,4,16,55,20,40,1,7,0,51,119,5,19,18,6,17,74,789,5,9,6,80,59,22
20 de Mayo,125,36,5,9,9,7,4,11,27,3,16,55,20,45,1,7,0,51,119,5,20,18,6,17,74,790,6,8,8,81,61,22
21 de Mayo,125,39,6,10,20,7,4,11,28,3,16,55,20,49,1,8,0,51,121,5,20,18,6,19,78,794,6,8,8,80,62,22
22 de Mayo,126,39,6,11,20,7,4,11,29,3,17,55,21,55,1,8,0,51,127,5,24,18,6,19,80,793,6,8,8,80,62,22
23 de Mayo,129,42,6,13,21,8,4,11,31,3,17,57,21,56,1,8,0,51,128,5,24,21,6,21,80,800,6,12,9,80,63,22
24 de Mayo,135,43,6,14,23,7,4,11,34,3,17,60,21,56,1,8,0,52,129,5,24,21,6,21,80,810,6,13,9,84,64,23
25 de Mayo,137,45,6,19,26,7,4,11,40,4,18,60,21,60,1,8,3,52,133,5,32,23,6,21,82,811,6,14,9,84,68,23
26 de Mayo,137,46,6,20,28,7,4,11,49,4,18,60,22,61,1,8,4,52,136,5,35,25,6,21,83,811,6,14,9,84,69,23
27 de Mayo,142,46,6,19,29,7,4,11,54,5,20,61,24,61,1,8,5,53,136,5,35,25,6,21,84,813,6,14,9,85,78,24
28 de Mayo,146,47,6,23,29,7,4,11,57,7,19,62,25,61,1,8,5,53,141,5,38,25,7,22,84,817,7,14,9,88,81,25
29 de Mayo,148,50,6,25,29,7,4,11,57,8,19,64,35,61,2,8,5,54,142,5,41,26,7,22,84,820,8,15,9,90,81,25
30 de Mayo,154,52,6,26,29,8,4,16,62,13,19,73,39,61,2,11,5,54,143,5,44,26,7,25,88,824,10,15,9,91,86,31
31 de Mayo,155,52,6,26,29,8,4,16,62,14,19,75,39,61,2,11,5,54,146,5,44,27,7,25,87,825,10,15,9,91,88,31
01 de Junio,156,53,7,28,29,8,4,16,66,17,20,75,41,61,2,11,5,54,153,5,47,35,8,25,87,827,10,16,9,93,89,31
02 de Junio,159,53,7,29,29,8,4,16,66,22,20,76,45,61,2,11,6,54,155,5,47,40,8,25,87,831,10,16,11,93,89,33
03 de Junio,162,54,8,29,30,8,4,16,70,25,20,81,45,62,2,11,6,54,158,6,49,42,8,25,87,835,10,16,12,93,89,33
04 de Junio,162,54,8,29,31,8,4,16,70,26,20,82,46,62,2,11,6,55,160,6,49,42,8,25,87,834,10,16,13,95,89,33
